source_skill_id,target_skill_id,relation_type
90,91,prerequisite
91,92,prerequisite
92,94,prerequisite
92,95,prerequisite
93,96,prerequisite
93,97,prerequisite
99,100,prerequisite
100,101,prerequisite
102,103,prerequisite
102,104,prerequisite
108,109,prerequisite
110,108,prerequisite
111,112,prerequisite
111,113,prerequisite
114,115,prerequisite
115,116,prerequisite
116,117,prerequisite
117,118,prerequisite
118,119,prerequisite
119,120,prerequisite
120,121,prerequisite
122,123,prerequisite
123,124,prerequisite
124,125,prerequisite
126,127,prerequisite
126,128,prerequisite
129,130,prerequisite
130,131,prerequisite
132,130,prerequisite
133,130,prerequisite
134,135,prerequisite
135,136,prerequisite
137,138,prerequisite
138,139,prerequisite
140,141,prerequisite
141,142,prerequisite
5,140,prerequisite
6,5,prerequisite
7,5,prerequisite
8,6,prerequisite
14,15,prerequisite
15,8,prerequisite
12,14,prerequisite
13,12,prerequisite
16,15,prerequisite
17,140,prerequisite
18,16,prerequisite
4,12,prerequisite
31,164,prerequisite
20,31,prerequisite
22,20,prerequisite
77,22,prerequisite
76,77,prerequisite
78,76,prerequisite
80,79,prerequisite
292,80,prerequisite
293,80,prerequisite
26,74,prerequisite
68,72,prerequisite
72,73,prerequisite
73,26,prerequisite
74,26,prerequisite
75,24,prerequisite
24,77,prerequisite
30,68,prerequisite
21,75,prerequisite
28,22,prerequisite
29,21,prerequisite
32,159,prerequisite
159,160,prerequisite
33,34,prerequisite
34,35,prerequisite
35,36,prerequisite
36,37,prerequisite
38,39,prerequisite
39,40,prerequisite
41,40,prerequisite
42,38,prerequisite
43,41,prerequisite
44,42,prerequisite
45,42,prerequisite
50,51,prerequisite
51,52,prerequisite
52,53,prerequisite
46,47,prerequisite
47,48,prerequisite
48,182,prerequisite
49,46,prerequisite
57,15,prerequisite
58,16,prerequisite
59,60,prerequisite
61,62,prerequisite
62,63,prerequisite
63,64,prerequisite
65,66,prerequisite
66,67,prerequisite
69,20,prerequisite
70,22,prerequisite
71,72,prerequisite
85,86,prerequisite
86,87,prerequisite
87,88,prerequisite
88,89,prerequisite
98,90,prerequisite
106,107,prerequisite
157,158,prerequisite
157,298,prerequisite
165,166,prerequisite
164,165,prerequisite
167,164,prerequisite
168,169,prerequisite
169,216,prerequisite
170,129,prerequisite
171,129,prerequisite
173,174,prerequisite
175,176,prerequisite
176,177,prerequisite
178,176,prerequisite
179,180,prerequisite
180,181,prerequisite
181,183,prerequisite
184,179,prerequisite
185,186,prerequisite
185,54,prerequisite
54,55,prerequisite
55,56,prerequisite
187,188,prerequisite
188,189,prerequisite
189,190,prerequisite
191,192,prerequisite
192,193,prerequisite
193,194,prerequisite
194,195,prerequisite
195,196,prerequisite
196,197,prerequisite
198,191,prerequisite
199,191,prerequisite
200,201,prerequisite
201,202,prerequisite
202,203,prerequisite
203,204,prerequisite
205,206,prerequisite
206,207,prerequisite
208,209,prerequisite
209,210,prerequisite
210,211,prerequisite
211,212,prerequisite
212,213,prerequisite
213,214,prerequisite
215,68,prerequisite
217,216,prerequisite
218,219,prerequisite
219,220,prerequisite
221,15,prerequisite
222,196,prerequisite
223,38,prerequisite
224,190,prerequisite
225,50,prerequisite
226,157,prerequisite
227,157,prerequisite
228,17,prerequisite
229,15,prerequisite
230,31,prerequisite
231,203,prerequisite
232,29,prerequisite
233,157,prerequisite
234,122,prerequisite
235,206,prerequisite
236,237,prerequisite
237,238,prerequisite
238,239,prerequisite
240,15,prerequisite
241,126,prerequisite
243,111,prerequisite
244,108,prerequisite
245,126,prerequisite
246,119,prerequisite
247,134,prerequisite
248,100,prerequisite
249,122,prerequisite
250,132,prerequisite
251,129,prerequisite
252,137,prerequisite
253,147,prerequisite
254,153,prerequisite
255,62,prerequisite
256,65,prerequisite
257,140,prerequisite
258,60,prerequisite
259,72,prerequisite
260,75,prerequisite
261,157,prerequisite
262,200,prerequisite
263,84,prerequisite
264,161,prerequisite
265,164,prerequisite
266,85,prerequisite
267,168,prerequisite
268,80,prerequisite
269,174,prerequisite
270,102,prerequisite
271,12,prerequisite
272,92,prerequisite
273,211,prerequisite
274,5,prerequisite
275,7,prerequisite
276,14,prerequisite
277,12,prerequisite
278,58,prerequisite
279,22,prerequisite
280,69,prerequisite
281,22,prerequisite
282,236,prerequisite
283,31,prerequisite
284,160,prerequisite
285,33,prerequisite
286,2,prerequisite
287,38,prerequisite
288,42,prerequisite
289,46,prerequisite
290,180,prerequisite
291,84,prerequisite
292,80,prerequisite
294,46,prerequisite
295,164,prerequisite
296,67,prerequisite
297,90,prerequisite
298,158,prerequisite
299,140,prerequisite
300,38,prerequisite
301,101,prerequisite
302,119,prerequisite
303,102,prerequisite
304,68,prerequisite
305,68,prerequisite
