node_id,knowledge_point_id,knowledge_point_name,subject_id
0,36,分页机制,697821
1,43,死锁检测,697821
2,215,保护现场,697821
3,260,虚页,697821
4,358,条件变量,697821
5,541,启动页机制,697821
6,590,数据变量,697821
7,711,逻辑块,697821
8,712,硬时限,697821
9,724,虚拟内存管理,697821
10,735,设备文件系统,697821
11,760,保护模式,697821
12,813,指令序列,697821
13,875,进程切换,697821
14,929,应用软件,697821
15,930,CLOCK置换算法,697821
16,1105,替换算法,697821
17,1199,分时操作系统,697821
18,1242,初始化,697821
19,1308,进程控制,697821
20,1371,阻塞队列,697821
21,1441,共享资源,697821
22,1476,最高响应比优先算法,697821
23,1511,命令解释程序,697821
24,1660,多道程序设计,697821
25,1853,2元信号量,697821
26,1854,设备管理,697821
27,1895,页管理机制,697821
28,1938,死锁预防,697821
29,2011,异常,697821
30,2044,通信方式,697821
31,2079,消息队列,697821
32,2147,别名,697821
33,2188,设备管理子系统,697821
34,2261,共享内存,697821
35,2267,硬盘,697821
36,2289,段描述符,697821
37,2365,匹配算法,697821
38,2456,外部设备,697821
39,2478,缺页,697821
40,2670,UNIX操作系统,697821
41,2700,页表手段,697821
42,2727,文件缓存,697821
43,2730,处理机调度,697821
44,2765,程序,697821
45,3037,软件故障,697821
46,3081,软盘,697821
47,3150,服务接口,697821
48,3211,访存异常,697821
49,3324,索引节点,697821
50,3360,进程加载,697821
51,3419,管态,697821
52,3694,接口,697821
53,3707,PV操作,697821
54,3807,进程控制块,697821
55,3813,虚拟页,697821
56,3867,文件分配机制,697821
57,3869,文件系统功能,697821
58,3879,阻塞状态,697821
59,3885,效率,697821
60,3940,页面置换算法,697821
61,3956,常规函数调用,697821
62,3992,优先级重置,697821
63,4175,页表项标志位,697821
64,4243,银行家算法,697821
65,4310,中断向量地址,697821
66,4346,CPU,697821
67,4402,信号量,697821
68,4449,单处理器,697821
69,4626,数据结构,697821
70,4714,内存管理,697821
71,4761,虚拟文件系统,697821
72,4788,移臂调度算法,697821
73,4790,特权级,697821
74,4860,数据段,697821
75,4954,库函数,697821
76,5015,寄存器,697821
77,5108,管道,697821
78,5131,进程,697821
79,5140,软时限,697821
80,5244,管理机制,697821
81,5259,视频剪辑,697821
82,5270,DS段寄存器,697821
83,5333,批处理,697821
84,5437,内核线程,697821
85,5476,子进程,697821
86,5529,进程释放,697821
87,5568,用户态,697821
88,5580,内存单元,697821
89,5602,文件指针,697821
90,5645,网络设备,697821
91,5660,锁,697821
92,5697,字符设备,697821
93,5769,局部置换算法,697821
94,5783,页表,697821
95,5809,CS段寄存器,697821
96,5932,用户进程,697821
97,5934,块设备,697821
98,5968,处理机,697821
99,5977,进程调度,697821
100,6019,临界资源,697821
101,6024,外部中断,697821
102,6135,物理内存管理,697821
103,6332,缺页率置换算法,697821
104,6356,工作集置换算法,697821
105,6486,目录,697821
106,6853,处理器调度,697821
107,7008,内存分配,697821
108,7106,内核态,697821
109,7108,冗余磁盘阵列,697821
110,7150,启动,697821
111,7188,扇区索引信息,697821
112,7197,系统调用,697821
113,7264,优先级反转,697821
114,7393,中断描述符表,697821
115,7416,实时调度,697821
116,7451,文件系统,697821
117,7482,程序状态字寄存器,697821
118,7511,页目录表,697821
119,7534,进程互斥,697821
120,7599,取消段机制,697821
121,7637,信号量机制,697821
122,7690,中断处理例程,697821
123,7825,并行性,697821
124,7840,就绪状态,697821
125,7934,时间片,697821
126,7936,死锁避免,697821
127,7971,设备,697821
128,8013,虚拟地址空间,697821
129,8047,进程通信机制,697821
130,8095,死锁检测算法,697821
131,8109,网络文件系统,697821
132,8287,共享变量,697821
133,8527,伙伴系统,697821
134,8567,Swap分区,697821
135,8597,进程创建,697821
136,8732,多道批处理系统,697821
137,8750,原子操作,697821
138,8842,磁盘文件系统,697821
139,8919,死锁,697821
140,9013,中断,697821
141,9089,特权指令,697821
142,9116,进程调度策略,697821
143,9194,I/O设备,697821
144,9206,IO数据传输,697821
145,9250,并发进程,697821
146,9295,多级索引,697821
147,9323,系统进程,697821
148,9373,应用程序,697821
149,9413,系统软件,697821
150,9451,用户线程,697821
151,9542,物理页,697821
152,9613,CPU保护模式,697821
153,9625,资源,697821
154,9698,SFS,697821
155,9741,虚拟设备,697821
156,9742,管程,697821
157,9805,逻辑地址空间,697821
158,9810,FIFO置换算法,697821
159,10093,队列,697821
160,10153,文件分配,697821
161,10235,I/O系统,697821
162,10238,蓝牙,697821
163,10241,生命周期,697821
164,10286,进程通信原理,697821
165,10306,代码段,697821
166,10395,操作系统,697821
167,10442,外碎片,697821
168,10475,线程,697821
169,10482,资源管理,697821
170,10505,电梯调度算法,697821
171,10508,物理页帧,697821
